Rank,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Giannis Antetokounmpo,MIL,30,25,14,11,35.0,32.6,12.7,20.8,61.0,0.2,0.7,22.2,7.0,11.4,61.4,2.0,9.6,11.6,6.0,3.4,0.8,1.4,2.4,58.7,21.0,3.0,0.9
2,Shai Gilgeous-Alexander,OKC,26,32,27,5,34.5,31.3,11.1,21.0,52.8,2.2,6.2,35.0,7.0,7.9,87.8,0.8,4.7,5.5,6.0,2.7,2.0,1.2,2.1,53.7,2.0,0.0,12.1
3,Nikola Jokić,DEN,29,29,18,11,36.9,30.7,11.7,20.8,56.1,2.2,4.6,49.2,5.1,6.4,80.1,3.4,9.6,13.0,9.7,3.3,1.7,0.6,2.0,64.4,23.0,14.0,9.3
4,LaMelo Ball,CHA,23,22,6,16,33.7,30.1,10.5,24.6,42.5,4.5,13.0,34.6,4.7,5.5,84.4,0.9,4.5,5.3,7.4,4.1,1.3,0.2,3.7,48.1,6.0,0.0,-1.8
5,Paolo Banchero,ORL,22,5,3,2,36.4,29.0,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50.0,2.0,0.0,5.8
6,Jayson Tatum,BOS,26,30,22,8,36.3,28.3,9.3,20.0,46.6,3.9,10.5,36.9,5.8,7.2,79.7,0.6,8.9,9.5,5.5,2.8,1.3,0.5,2.5,50.4,16.0,1.0,9.5
7,Luka Dončić,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2.0,0.4,2.6,53.7,10.0,3.0,7.6
8,Kevin Durant,PHX,36,22,14,8,36.0,27.7,9.8,19.1,51.2,2.4,5.9,41.1,5.8,6.9,83.6,0.5,6.0,6.5,3.8,3.3,0.8,1.3,1.8,44.3,3.0,0.0,-1.0
9,De'Aaron Fox,SAC,27,34,15,19,37.2,26.8,9.9,20.2,49.2,2.1,6.3,32.9,4.8,6.0,80.4,1.1,3.9,5.0,6.2,3.4,1.6,0.4,2.8,44.5,5.0,0.0,0.6
10,Anthony Davis,LAL,31,31,18,13,34.7,26.1,9.5,18.0,52.7,0.7,2.2,32.4,6.4,8.3,77.7,2.5,9.0,11.6,3.5,2.2,1.3,2.0,1.9,53.1,23.0,0.0,-0.5
11,Tyrese Maxey,PHI,24,25,12,13,37.4,25.9,9.0,21.2,42.3,3.2,9.5,34.0,4.8,5.7,83.8,0.2,3.3,3.5,5.4,2.3,2.1,0.4,2.4,43.5,4.0,1.0,-0.6
12,Victor Wembanyama,SAS,20,28,15,13,32.9,25.6,9.2,19.1,48.0,3.3,9.4,35.5,3.9,4.4,87.9,1.8,8.2,10.0,3.9,3.4,1.0,3.9,2.0,54.8,12.0,1.0,4.1
13,Jalen Brunson,NYK,28,33,23,10,34.9,25.2,8.6,17.8,48.3,2.5,6.2,40.3,5.6,6.8,82.5,0.4,2.5,3.0,7.7,2.4,0.8,0.1,2.2,40.5,7.0,0.0,6.3
14,Damian Lillard,MIL,34,24,13,11,36.3,25.2,7.7,17.5,44.0,3.4,9.3,36.8,6.3,6.9,92.1,0.6,3.9,4.5,7.6,2.9,1.1,0.2,1.9,43.0,7.0,0.0,-0.7
15,Karl-Anthony Towns,NYK,29,32,23,9,34.3,24.9,8.9,16.3,54.8,2.2,5.0,44.0,4.9,5.9,83.6,2.9,10.8,13.7,3.3,2.6,0.8,0.9,3.6,49.1,28.0,0.0,7.5
16,Anthony Edwards,MIN,23,32,17,15,36.1,24.8,8.8,19.9,44.3,4.0,9.7,41.5,3.1,3.8,81.1,0.7,5.0,5.7,3.9,3.1,1.3,0.6,1.9,40.0,1.0,0.0,2.0
17,Devin Booker,PHX,28,27,14,13,36.3,24.7,7.8,18.2,42.9,2.6,7.7,34.1,6.5,7.2,90.2,1.1,2.5,3.7,6.5,2.3,1.1,0.3,2.1,40.9,3.0,0.0,-1.6
18,Cam Thomas,BKN,23,18,7,11,32.9,24.7,7.9,17.5,45.4,2.9,7.4,39.1,5.9,6.8,87.0,0.4,3.0,3.4,3.4,2.8,0.7,0.1,1.9,33.3,0.0,0.0,-2.8
19,Franz Wagner,ORL,23,25,16,9,33.2,24.4,8.8,18.9,46.5,2.0,6.4,32.1,4.8,5.4,88.1,0.9,4.7,5.6,5.7,2.4,1.7,0.5,2.3,43.8,2.0,0.0,5.8
20,Jaylen Brown,BOS,28,28,21,7,35.4,24.4,9.0,19.4,46.1,2.3,7.0,33.2,4.1,5.6,73.4,1.5,4.5,6.0,4.6,2.8,1.4,0.3,2.4,40.7,3.0,0.0,8.5
21,Kyrie Irving,DAL,32,30,19,11,35.6,24.3,9.0,18.3,49.0,3.1,7.0,44.1,3.3,3.6,89.9,1.0,3.5,4.6,4.9,2.3,1.2,0.4,2.2,39.6,0.0,0.0,4.8
22,Tyler Herro,MIA,24,31,17,14,35.3,24.3,8.4,17.6,47.7,4.0,9.7,41.0,3.5,4.1,85.0,0.3,5.3,5.6,5.2,2.5,0.7,0.1,1.5,38.7,5.0,0.0,2.3
23,Norman Powell,LAC,31,26,15,11,33.3,24.3,8.4,17.2,49.0,3.7,8.3,45.1,3.7,4.3,85.0,0.3,3.0,3.3,2.5,2.1,1.3,0.2,2.0,34.3,1.0,0.0,2.5
24,Cade Cunningham,DET,23,29,14,15,35.9,23.8,8.9,19.8,44.9,2.4,6.6,37.2,3.6,4.4,79.8,1.0,5.7,6.8,9.7,4.4,0.8,0.9,2.8,46.9,16.0,6.0,-1.5
25,Joel Embiid,PHI,30,11,6,5,29.3,23.7,7.5,16.7,45.1,1.2,3.9,30.2,7.5,8.0,93.2,1.6,5.4,7.0,3.8,3.3,0.9,1.0,2.3,40.3,2.0,0.0,0.8
26,Donovan Mitchell,CLE,28,32,28,4,31.5,23.7,8.3,18.3,45.6,3.9,9.4,41.5,3.1,3.8,81.0,0.5,4.0,4.6,4.6,2.1,1.5,0.3,2.0,39.2,2.0,0.0,8.4
27,LeBron James,LAL,40,29,16,13,35.0,23.4,9.0,18.0,49.7,2.0,5.6,36.2,3.5,4.5,77.1,0.9,6.8,7.7,8.9,3.8,0.8,0.6,1.3,46.6,15.0,8.0,-3.9
28,RJ Barrett,TOR,24,27,6,21,34.1,23.4,8.5,18.5,45.9,1.9,5.6,34.4,4.5,6.2,72.6,0.9,5.9,6.8,6.2,3.4,0.7,0.4,2.5,40.7,7.0,2.0,-3.9
29,Zion Williamson,NOP,24,6,2,4,31.1,22.7,7.8,17.3,45.2,0.3,1.0,33.3,6.7,10.0,66.7,2.7,5.3,8.0,5.3,3.7,0.7,1.2,3.0,42.1,3.0,0.0,-2.3
30,Zach LaVine,CHI,29,29,13,16,33.3,22.3,8.0,15.9,50.3,3.3,7.4,44.4,3.0,3.8,80.7,0.2,4.2,4.4,4.3,3.0,0.9,0.3,1.7,34.5,1.0,0.0,-0.6
31,Trae Young,ATL,26,32,17,15,35.8,22.3,6.7,16.8,39.9,2.9,8.5,33.8,6.0,6.8,87.6,0.6,3.1,3.6,12.0,4.5,1.3,0.2,2.0,44.7,23.0,0.0,1.6
32,Brandon Ingram,NOP,27,18,5,13,33.1,22.2,8.6,18.5,46.5,2.4,6.4,37.4,2.6,3.1,85.5,0.9,4.6,5.6,5.2,3.8,0.9,0.6,2.5,37.3,0.0,0.0,-7.1
33,Jaren Jackson Jr.,MEM,25,32,22,10,28.5,22.1,7.9,16.0,49.2,1.8,5.2,35.3,4.5,5.7,79.7,1.4,4.7,6.1,1.8,2.2,1.5,1.7,3.2,39.5,2.0,0.0,7.8
