Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position,PTS_n,REB_n,AST_n,TOV_n,STL_n,BLK_n
Giannis Antetokounmpo,MIL,30,24,13,11,35.0,32.7,12.8,20.9,61.3,0.2,0.8,22.2,7.0,11.3,61.4,2.0,9.6,11.6,6.0,3.4,0.7,1.5,2.3,58.8,20,3,0.4,Forward,1.0,0.8592592592592593,0.49586776859504134,0.7083333333333334,0.2258064516129032,0.375
Shai Gilgeous-Alexander,OKC,26,31,26,5,34.5,31.0,10.9,20.9,52.3,2.1,6.2,34.4,7.0,7.9,88.2,0.8,4.8,5.6,6.2,2.7,1.9,1.2,2.2,53.7,2,0,12.1,Guard,0.948012232415902,0.4148148148148148,0.5123966942148761,0.5625000000000001,0.6129032258064515,0.3
Nikola Jokić,DEN,29,28,17,11,37.2,31.0,11.8,20.9,56.3,2.3,4.7,48.9,5.1,6.4,79.4,3.5,9.4,12.9,9.5,3.4,1.8,0.6,2.0,64.3,22,13,8.5,Center,0.948012232415902,0.9555555555555556,0.7851239669421488,0.7083333333333334,0.5806451612903226,0.15
LaMelo Ball,CHA,23,22,6,16,33.7,30.1,10.5,24.6,42.5,4.5,13.0,34.6,4.7,5.5,84.4,0.9,4.5,5.3,7.4,4.1,1.3,0.2,3.7,48.1,6,0,-1.8,Guard,0.9204892966360856,0.3925925925925926,0.6115702479338844,0.8541666666666666,0.41935483870967744,0.05
Paolo Banchero,ORL,22,5,3,2,36.4,29.0,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,50.0,2,0,5.8,Forward,0.8868501529051988,0.6518518518518519,0.46280991735537186,0.45833333333333337,0.1935483870967742,0.2
Jayson Tatum,BOS,26,29,21,8,36.6,28.5,9.4,20.3,46.6,3.9,10.5,36.7,5.7,7.1,80.6,0.7,8.9,9.6,5.6,2.8,1.3,0.5,2.6,50.9,16,1,8.5,Forward-Guard,0.8715596330275228,0.7111111111111111,0.46280991735537186,0.5833333333333334,0.41935483870967744,0.125
Luka Dončić,DAL,25,22,13,9,35.7,28.1,9.8,21.2,46.4,3.4,9.6,35.4,5.1,6.6,76.7,0.7,7.6,8.3,7.8,3.4,2.0,0.4,2.6,53.7,10,3,7.6,Forward-Guard,0.8593272171253822,0.6148148148148148,0.6446280991735537,0.7083333333333334,0.6451612903225806,0.1
Kevin Durant,PHX,36,21,14,7,35.9,27.7,9.7,19.1,50.9,2.4,5.9,41.1,5.8,6.9,84.1,0.5,5.9,6.4,3.7,3.3,0.8,1.3,1.8,43.7,2,0,-0.9,Forward,0.8470948012232415,0.4740740740740741,0.3057851239669422,0.6875,0.25806451612903225,0.325
De'Aaron Fox,SAC,27,32,13,19,37.3,26.3,9.8,20.3,48.1,2.0,6.3,32.2,4.8,6.0,80.1,1.1,3.9,5.0,6.3,3.4,1.7,0.3,2.7,44.3,5,0,-0.3,Guard,0.8042813455657492,0.37037037037037035,0.5206611570247934,0.7083333333333334,0.5483870967741935,0.075
Anthony Davis,LAL,31,30,18,12,34.7,26.0,9.4,17.8,52.7,0.7,2.1,31.3,6.6,8.5,77.6,2.6,8.9,11.5,3.5,2.2,1.2,2.0,1.9,52.7,22,0,-0.3,Forward-Center,0.7951070336391437,0.8518518518518519,0.2892561983471075,0.45833333333333337,0.3870967741935484,0.5
Tyrese Maxey,PHI,24,23,11,12,37.2,26.0,9.0,21.4,42.0,3.3,9.6,33.9,4.7,5.7,82.6,0.2,3.5,3.7,5.4,2.2,2.0,0.4,2.3,43.7,4,1,-0.9,Guard,0.7951070336391437,0.2740740740740741,0.44628099173553726,0.45833333333333337,0.6451612903225806,0.1
Damian Lillard,MIL,34,23,12,11,36.3,25.9,7.9,17.7,44.8,3.4,9.3,36.9,6.6,7.2,92.1,0.6,4.0,4.6,7.7,2.9,1.1,0.2,1.9,43.9,7,0,-0.9,Guard,0.7920489296636084,0.34074074074074073,0.6363636363636364,0.6041666666666666,0.3548387096774194,0.05
Victor Wembanyama,SAS,20,27,14,13,33.1,25.5,9.1,19.1,47.8,3.4,9.5,35.9,3.8,4.3,88.0,1.9,8.2,10.0,3.8,3.5,1.0,4.0,2.0,54.8,12,1,3.4,Forward-Center,0.7798165137614678,0.7407407407407407,0.3140495867768595,0.7291666666666667,0.3225806451612903,1.0
Jalen Brunson,NYK,28,33,23,10,34.9,25.2,8.6,17.8,48.3,2.5,6.2,40.3,5.6,6.8,82.5,0.4,2.5,3.0,7.7,2.4,0.8,0.1,2.2,40.5,7,0,6.3,Guard,0.7706422018348623,0.2222222222222222,0.6363636363636364,0.5,0.25806451612903225,0.025
Devin Booker,PHX,28,26,14,12,36.6,25.1,8.0,18.2,43.9,2.7,7.7,34.5,6.5,7.2,89.9,1.2,2.5,3.7,6.4,2.3,1.1,0.3,2.2,41.2,3,0,-1.7,Guard,0.7675840978593272,0.2740740740740741,0.5289256198347108,0.47916666666666663,0.3548387096774194,0.075
Anthony Edwards,MIN,23,31,17,14,36.0,24.9,8.9,20.1,44.2,4.0,9.8,41.1,3.1,3.8,80.5,0.7,4.9,5.6,4.0,3.1,1.3,0.6,1.9,40.3,1,0,2.2,Guard,0.7614678899082568,0.4148148148148148,0.3305785123966942,0.6458333333333334,0.41935483870967744,0.15
Jaylen Brown,BOS,28,27,20,7,35.7,24.9,9.1,19.7,46.1,2.4,7.2,33.5,4.3,5.9,73.4,1.4,4.5,5.9,4.7,2.7,1.4,0.3,2.4,41.2,3,0,8.4,Guard-Forward,0.7614678899082568,0.43703703703703706,0.38842975206611574,0.5625000000000001,0.4516129032258064,0.075
Karl-Anthony Towns,NYK,29,31,22,9,34.2,24.7,8.9,16.1,55.0,2.2,4.9,43.8,4.8,5.8,83.3,2.9,10.6,13.5,3.3,2.6,0.8,0.9,3.6,48.5,27,0,7.4,Center-Forward,0.7553516819571865,1.0,0.2727272727272727,0.5416666666666667,0.25806451612903225,0.225
Cam Thomas,BKN,23,18,7,11,32.9,24.7,7.9,17.5,45.4,2.9,7.4,39.1,5.9,6.8,87.0,0.4,3.0,3.4,3.4,2.8,0.7,0.1,1.9,33.3,0,0,-2.8,Guard,0.7553516819571865,0.2518518518518518,0.2809917355371901,0.5833333333333334,0.2258064516129032,0.025
