PC1,PC2,Player,Cluster
7.209676036731518,0.6516089107907181,Karl-Anthony Towns,Cluster 3
4.4575098454054265,-3.7378552985648716,Joel Embiid,Cluster 3
3.213627481189958,-2.3901482990879863,Chet Holmgren,Cluster 3
4.43851187593761,0.8468371293800568,Bam Adebayo,Cluster 3
2.9447451197556145,1.8579944833918731,Myles Turner,Cluster 1
3.081569456774561,-1.1424041158339155,Isaiah Hartenstein,Cluster 3
0.8542795511205805,2.46133956961682,Naz Reid,Cluster 1
1.3606240962972131,1.2256227449126984,Goga Bitadze,Cluster 1
0.2783685993890129,2.098206831792774,Al Horford,Cluster 1
-2.013551705858757,-1.4603458671056355,Robert Williams III,Cluster 2
-0.11329045115490373,0.45145420621418125,Wendell Carter Jr.,Cluster 1
-2.327239522564057,-1.2544717578478843,Jaxson Hayes,Cluster 2
-3.00091743474283,0.4207652292990995,Charles Bassey,Cluster 2
-3.4954704062469455,0.27064119407530735,Thomas Bryant,Cluster 2
-1.92006593962917,1.2177721099399186,Luke Kornet,Cluster 2
-5.448020634759921,-1.3812618394440617,Bol Bol,Cluster 2
-4.861759550141132,-0.7936680329543,Tristan Thompson,Cluster 2
-4.6585964175037855,0.6579128014252051,Kai Jones,Cluster 2
