Player,Player_img,Team,Number,Position,Height_inches,Weight_lbs,Last_Attended,Country
Precious Achiuwa,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,NYK,5.0,Forward,80,243,Memphis,Nigeria
Steven Adams,https://cdn.nba.com/headshots/nba/latest/260x190/203500.png,HOU,12.0,Center,83,265,Pittsburgh,New Zealand
Bam Adebayo,https://cdn.nba.com/headshots/nba/latest/260x190/1628389.png,MIA,13.0,Center-Forward,81,255,Kentucky,USA
Ochai Agbaji,https://cdn.nba.com/headshots/nba/latest/260x190/1630534.png,TOR,30.0,Guard,77,215,Kansas,USA
Santi Aldama,https://cdn.nba.com/headshots/nba/latest/260x190/1630583.png,MEM,7.0,Forward-Center,84,215,Loyola-Maryland,Spain
Trey Alexander,https://cdn.nba.com/headshots/nba/latest/260x190/1641725.png,DEN,23.0,Guard,76,185,Creighton,USA
Nickeil Alexander-Walker,https://cdn.nba.com/headshots/nba/latest/260x190/1629638.png,MIN,9.0,Guard,77,205,Virginia Tech,Canada
Grayson Allen,https://cdn.nba.com/headshots/nba/latest/260x190/1628960.png,PHX,8.0,Guard,76,198,Duke,USA
Jarrett Allen,https://cdn.nba.com/headshots/nba/latest/260x190/1628386.png,CLE,31.0,Center,81,243,Texas,USA
Jose Alvarado,https://cdn.nba.com/headshots/nba/latest/260x190/1630631.png,NOP,15.0,Guard,72,179,Georgia Tech,USA
Kyle Anderson,https://cdn.nba.com/headshots/nba/latest/260x190/203937.png,GSW,1.0,Forward-Guard,81,230,UCLA,USA
Giannis Antetokounmpo,https://cdn.nba.com/headshots/nba/latest/260x190/203507.png,MIL,34.0,Forward,83,243,Filathlitikos,Greece
Cole Anthony,https://cdn.nba.com/headshots/nba/latest/260x190/1630175.png,ORL,50.0,Guard,74,185,North Carolina,USA
OG Anunoby,https://cdn.nba.com/headshots/nba/latest/260x190/1628384.png,NYK,8.0,Forward-Guard,79,240,Indiana,United Kingdom
Deni Avdija,https://cdn.nba.com/headshots/nba/latest/260x190/1630166.png,POR,8.0,Forward,81,240,Maccabi Tel Aviv,Israel
Deandre Ayton,https://cdn.nba.com/headshots/nba/latest/260x190/1629028.png,POR,2.0,Center,84,252,Arizona,Bahamas
Marvin Bagley III,https://cdn.nba.com/headshots/nba/latest/260x190/1628963.png,WAS,35.0,Forward,82,235,Duke,USA
Patrick Baldwin Jr.,https://cdn.nba.com/headshots/nba/latest/260x190/1631116.png,WAS,7.0,Forward,81,220,Wisconsin-Milwaukee,USA
LaMelo Ball,https://cdn.nba.com/headshots/nba/latest/260x190/1630163.png,CHA,1.0,Guard,79,180,Illawarra,USA
Lonzo Ball,https://cdn.nba.com/headshots/nba/latest/260x190/1628366.png,CHI,2.0,Guard,78,190,UCLA,USA
Mo Bamba,https://cdn.nba.com/headshots/nba/latest/260x190/1628964.png,LAC,4.0,Center,84,231,Texas,USA
Paolo Banchero,https://cdn.nba.com/headshots/nba/latest/260x190/1631094.png,ORL,5.0,Forward,82,250,Duke,USA
Desmond Bane,https://cdn.nba.com/headshots/nba/latest/260x190/1630217.png,MEM,22.0,Guard,77,215,TCU,USA
Dalano Banton,https://cdn.nba.com/headshots/nba/latest/260x190/1630625.png,POR,5.0,Forward,80,203,Nebraska,Canada
Dominick Barlow,https://cdn.nba.com/headshots/nba/latest/260x190/1631230.png,ATL,26.0,Forward,80,215,Overtime Elite,USA
Harrison Barnes,https://cdn.nba.com/headshots/nba/latest/260x190/203084.png,SAS,40.0,Forward,80,225,North Carolina,USA
Scottie Barnes,https://cdn.nba.com/headshots/nba/latest/260x190/1630567.png,TOR,4.0,Forward-Guard,79,237,Florida State,USA
RJ Barrett,https://cdn.nba.com/headshots/nba/latest/260x190/1629628.png,TOR,9.0,Forward-Guard,78,214,Duke,Canada
Charles Bassey,https://cdn.nba.com/headshots/nba/latest/260x190/1629646.png,SAS,28.0,Center-Forward,82,230,Western Kentucky,Nigeria
Emoni Bates,https://cdn.nba.com/headshots/nba/latest/260x190/1641734.png,CLE,21.0,Forward,80,170,Eastern Michigan,USA
Jamison Battle,https://cdn.nba.com/headshots/nba/latest/260x190/1642419.png,TOR,77.0,Forward,79,220,Ohio State,USA
Nicolas Batum,https://cdn.nba.com/headshots/nba/latest/260x190/201587.png,LAC,33.0,Guard-Forward,80,230,Le Mans,France
Bradley Beal,https://cdn.nba.com/headshots/nba/latest/260x190/203078.png,PHX,3.0,Guard,76,207,Florida,USA
Malik Beasley,https://cdn.nba.com/headshots/nba/latest/260x190/1627736.png,DET,5.0,Guard,76,187,Florida State,USA
MarJon Beauchamp,https://cdn.nba.com/headshots/nba/latest/260x190/1630699.png,MIL,3.0,Forward,79,199,NBA G League Ignite,USA
Reece Beekman,https://cdn.nba.com/headshots/nba/latest/260x190/1641736.png,BKN,4.0,Guard,75,190,Virginia,USA
Saddiq Bey,https://cdn.nba.com/headshots/nba/latest/260x190/1630180.png,WAS,14.0,Guard-Forward,79,215,Villanova,USA
Goga Bitadze,https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png,ORL,35.0,Center-Forward,82,250,Mega Basket,Georgia
Anthony Black,https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png,ORL,0.0,Guard,79,200,Arkansas,USA
Bogdan Bogdanović,https://cdn.nba.com/headshots/nba/latest/260x190/203992.png,ATL,13.0,Guard,77,225,Fenerbahce,Serbia
Bojan Bogdanović,https://cdn.nba.com/headshots/nba/latest/260x190/202711.png,BKN,44.0,Forward,79,226,Fenerbahce,Croatia
Bol Bol,https://cdn.nba.com/headshots/nba/latest/260x190/1629626.png,PHX,11.0,Center-Forward,87,220,Oregon,Sudan
Adem Bona,https://cdn.nba.com/headshots/nba/latest/260x190/1641737.png,PHI,30.0,Forward,82,235,UCLA,Nigeria
Devin Booker,https://cdn.nba.com/headshots/nba/latest/260x190/1626164.png,PHX,1.0,Guard,78,206,Kentucky,USA
Brandon Boston,https://cdn.nba.com/headshots/nba/latest/260x190/1630527.png,NOP,11.0,Guard,78,188,Kentucky,USA
Chris Boucher,https://cdn.nba.com/headshots/nba/latest/260x190/1628449.png,TOR,25.0,Forward,81,200,Oregon,Saint Lucia
Malaki Branham,https://cdn.nba.com/headshots/nba/latest/260x190/1631103.png,SAS,22.0,Forward,76,180,Ohio State,USA
Christian Braun,https://cdn.nba.com/headshots/nba/latest/260x190/1631128.png,DEN,0.0,Guard,78,220,Kansas,USA
Jalen Bridges,https://cdn.nba.com/headshots/nba/latest/260x190/1641779.png,PHX,15.0,Forward,80,225,Baylor,USA
Mikal Bridges,https://cdn.nba.com/headshots/nba/latest/260x190/1628969.png,NYK,25.0,Guard-Forward,78,209,Villanova,USA
Miles Bridges,https://cdn.nba.com/headshots/nba/latest/260x190/1628970.png,CHA,0.0,Forward,79,225,Michigan State,USA
Malcolm Brogdon,https://cdn.nba.com/headshots/nba/latest/260x190/1627763.png,WAS,15.0,Guard,76,229,Virginia,USA
Dillon Brooks,https://cdn.nba.com/headshots/nba/latest/260x190/1628415.png,HOU,9.0,Guard-Forward,78,225,Oregon,Canada
Bruce Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1628971.png,TOR,11.0,Guard-Forward,76,202,Miami,USA
Jaylen Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1627759.png,BOS,7.0,Guard-Forward,78,223,California,USA
Kobe Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1641738.png,LAC,21.0,Forward,79,250,Missouri,USA
Moses Brown,https://cdn.nba.com/headshots/nba/latest/260x190/1629650.png,,,Center,86,258,UCLA,USA
Jalen Brunson,https://cdn.nba.com/headshots/nba/latest/260x190/1628973.png,NYK,11.0,Guard,74,190,Villanova,USA
Thomas Bryant,https://cdn.nba.com/headshots/nba/latest/260x190/1628418.png,IND,3.0,Center-Forward,82,248,Indiana,USA
Kobe Bufkin,https://cdn.nba.com/headshots/nba/latest/260x190/1641723.png,ATL,4.0,Guard,76,195,Michigan,USA
Alec Burks,https://cdn.nba.com/headshots/nba/latest/260x190/202692.png,MIA,18.0,Guard,77,214,Colorado,USA
Jared Butler,https://cdn.nba.com/headshots/nba/latest/260x190/1630215.png,WAS,4.0,Guard,75,193,Baylor,USA
Jimmy Butler,https://cdn.nba.com/headshots/nba/latest/260x190/202710.png,MIA,22.0,Forward,79,230,Marquette,USA
Matas Buzelis,https://cdn.nba.com/headshots/nba/latest/260x190/1641824.png,CHI,14.0,Forward,82,209,NBA G League Ignite,USA
