Season,PIE,Player
2020-21,19.6,Giannis Antetokounmpo
2020-21,17.9,Jayson Tatum
2020-21,12.1,LaMelo Ball
2020-21,20.1,Nikola Jokić
2020-21,14.6,Shai Gilgeous-Alexander
2021-22,21.0,Giannis Antetokounmpo
2021-22,19.1,Jayson Tatum
2021-22,13.2,LaMelo Ball
2021-22,23.0,Nikola Jokić
2021-22,13.4,Shai Gilgeous-Alexander
2022-23,20.4,Giannis Antetokounmpo
2022-23,20.2,Jayson Tatum
2022-23,12.2,LaMelo Ball
2022-23,21.1,Nikola Jokić
2022-23,17.5,Shai Gilgeous-Alexander
2023-24,19.7,Giannis Antetokounmpo
2023-24,20.0,Jayson Tatum
2023-24,13.3,LaMelo Ball
2023-24,21.1,Nikola Jokić
2023-24,18.7,Shai Gilgeous-Alexander
2024-25,20.6,Giannis Antetokounmpo
2024-25,17.2,Jayson Tatum
2024-25,14.2,LaMelo Ball
2024-25,21.2,Nikola Jokić
2024-25,20.7,Shai Gilgeous-Alexander
